ID,Item_name,Count
793,Prawn Masala,8
794,Chicken Sausage Pizza,8
795,Chicken Lemon Pepper Soup,8
796,Chilli Potato,8
797,Kaju Paneer Masala,8
798,Paneer Methi Malai,8
799,Hyderabadi Chicken Dum Biryani,8
800,Open Dosa,8
801,Chicken Maggi,8
802,Mutton Chilli,8
803,Falooda,8
804,Non Veg Manchow Soup,8
805,Chicken Seekh Kebab,8
806,Chicken Kalimirch,8
807,Mushroom Schezwan Fried Rice,8
808,Tandoori Naan,8
809,Aloo Tikki,8
810,Chicken Bhuna,8
811,Chilly Baby Corn,8
812,Mango Milk Shake,8
813,Gobi Pepper,8
814,Paneer Chilly Dry,8
815,Aloo Tomato,8
816,Chicken Lemon Coriander Soup,8
817,Hara Bhara Kebab,8
818,Appam,8
819,Veg Raita,8
820,Mutton Keema Masala,8
821,Veg Singapore Fried Rice,8
822,Handi Chicken,8
823,Gobhi Masala,8
824,Handi Biryani,8
825,Tomato Raita,8
826,French Fry,8
827,Chicken Manchurian Roll,8
828,Non Veg Meal,8
829,Chicken Fingers,8
830,Non Veg Sweet Corn Soup,8
831,Chilly Cheese Toast,8
832,Butterscotch Shake,8
833,Chicken Tandoori,8
834,Muskmelon Milkshake,8
835,Hariyali Tikka,8
836,Veg Arrabiata Pasta,8
837,Minestrone Soup,8
838,Blackcurrant Ice Cream,8
839,Cheese Balls,8
840,Veg Lemon Pepper Soup,8
841,Prawns Schezwan Noodles,8
842,Paneer Pav Bhaji,8
843,Ghee Paratha,8
844,Paneer Hariyali Tikka,8
845,Boneless Chilly Chicken,8
846,Veg Lung Fung Soup,8
847,Black Forest Cake,8
848,Chicken Popcorn,8
849,Veg Burnt Garlic Fried Rice,8
850,Veg Hot N Sour Soup,8
851,Prawns Roast,8
852,Gongura Chicken Biryani,8
853,Pongal,8
854,Boneless Chicken Masala,8
855,Chicken Rogan Josh,8
856,Tandoori Prawns,8
857,Sattu Paratha,8
858,Murgh Malai Tikka,8
859,Veg Fried Momos,8
860,Cream of Veg Soup,8
861,Reshmi Kebab,8
862,Pomegranate Milkshake,8
863,Aloo Chilli,8
864,Chicken Noodles Soup,8
865,Dal Methi,8
866,Walnut Brownie,8
867,Paneer Mutter,8
868,Ghee Masala Dosa,8
869,Sweet Lime Juice,8
870,Veg Handi,8
871,Mushroom Pulao,8
872,Veg Kolapuri,8
873,Dal Punjabi,8
874,Steam Rice,8
875,Chicken Hariyali,8
876,Chicken Chilly Garlic Noodles,8
877,Mutton Manchurian,8
878,Kachori,8
879,Chicken Pan Fried Noodles,8
880,Prawn Manchurian,8
881,Butterscotch Cake,8
882,Veg Keema,7
883,Chicken Wonton Soup,7
884,Chole Paneer,7
885,Veg Cheese Grilled Sandwich,7
886,Gobi Chilli Dry,7
887,Pineapple Cake,7
888,Aloo Dum,7
889,Chilly Egg,7
890,Chicken Reshmi Kebab,7
891,Paneer Tikka Sandwich,7
892,Vegetable Pulao,7
893,Chicken Tikka Wrap,7
894,Mix Paratha,7
895,Egg Biriyani,7
896,Lasooni Tikka,7
897,Hyderabadi Chicken Curry,7
898,Prawn Curry,7
899,Veg Chilly Garlic Rice,7
900,Hariyali Chicken Tikka,7
901,Mixed Vegetable,7
902,Prawn 65,7
903,Vegetable Kolhapuri,7
904,Chicken Crispy,7
905,Veg Cheese Burger,7
906,Banana Smoothie,7
907,Vanilla Shake,7
908,Maaza,7
909,Onion Rings,7
910,Mysore Masala Dosa,7
911,Paneer Stuffed Paratha,7
912,Chilli Mutton,7
913,Paneer Schezwan Noodles,7
914,Chicken Talumein Soup,7
915,Chilli Chicken Dry,7
916,Seafood Soup,7
917,Mutton Kali Mirch,7
918,Chicken Keema,7
919,Chicken Wrap,7
920,Cold Coffee with Ice Cream,7
921,Baby Corn Manchurian Dry,7
922,Cold Coffee Milkshake,7
923,Mix Veg Paratha,7
924,Chicken Cutlet,7
925,Plain Maggi,7
926,Special Prawns Fried Rice,7
927,Fried Chicken,7
928,Tawa Butter Roti,7
929,Boneless Kadai Chicken,7
930,Veg Dosa,7
931,Prawn Noodles,7
932,Veg Pan Fried Noodles,7
933,Tomato Egg Curry,7
934,Crispy Baby Corn,7
935,Veg Chilli Garlic Fried Rice,7
936,Rice Bath,7
937,Veg Hyderabadi Biryani,7
938,Aloo Pakoda,7
939,Cafe Mocha,7
940,Aloo Tikki Burger,7
941,Matar Paratha,7
942,Red Bull,7
943,Mutton Saagwala,7
944,Ginger Fish,7
945,Chicken Kolapuri,7
946,Chicken Methi,7
947,Jalebi,7
948,Veg Triple Schezwan Fried Rice,7
949,Chicken Steak,7
950,Kadhai Veg,7
951,Veg Biriyani,7
952,Paneer Satay,7
953,Chocolate Mousse,7
954,Chilli Garlic Noodles,7
955,Masala Fries,7
956,Pudina Lassi,7
957,White Forest Cake,7
958,Paneer Tikka Butter Masala,7
959,Plain Tandoori Roti,7
960,Chicken Satay,7
961,Ginger Lime Juice,7
962,2 Plain Paratha,7
963,Grilled Fish,7
964,Mutton Chops,7
965,Snickers Milkshake,7
966,Chicken Lollipop Biryani,7
967,Tawa Veg,7
968,Veg Chilly Garlic Noodles,7
969,Mutton Biryani Combo,7
970,Boneless Pepper Chicken,7
971,Veg Fingers,7
972,Chicken Hot N Sour Soup,7
973,Chicken Triple Schezwan Fried Rice,7
974,Gobi Mutter,7
975,Paneer Chilli Dry,7
976,Green Peas Dry,7
977,Aloo Masala,7
978,Rajma,7
979,Chicken Hot Garlic,7
980,Chicken Dragon Chopsuey,7
981,Mushroom Chilly Dry,7
982,Mango Smoothie,7
983,Mixed Veg Fried Rice,7
984,Sweet Lime Soda,7
985,Cheese Vada Pav,7
986,Chicken Kalimirchi,7
987,Egg Biryani Combo,7
988,Paneer Matar Masala,7
989,Gobhi 65,7
990,Mushroom Chilli Gravy,7
991,Veg Pasta,7
992,Papaya Shake,7
993,Mushroom Butter Masala,7
994,Chicken Maharaja,7
995,Paneer Tikka Roll,6
996,Italian Chicken Pasta,6
997,Egg Schezwan Rice,6
998,Jeera Lassi,6
999,Egg Kolhapuri,6
1000,Peas Pulav,6
1001,Chicken Cheese Sandwich,6
1002,Prawns Sukka,6
1003,Corn Pulao,6
